"survey"
"","name","type","label","relevant"
"","A1001","select_one list","Test question 1",""
"","A1002","select_one list","Test question 2","${A1001} = '1'"
"","A1003","select_one list","Test question 3","${A1002} = '1'"
"","A1004","select_one list","Test question 4","${A1003} = '1'"
"","A1005","select_one list","Test question 5","${A1004} = '1'"
"","A1006","select_one list","Test question 6","${A1005} = '1'"
"","A1007","select_one list","Test question 7","${A1006} = '1'"
"","A1008","select_one list","Test question 8","${A1007} = '1'"
"","A1009","select_one list","Test question 9","${A1008} = '1'"
"","A1010","select_one list","Test question 10","${A1009} = '1'"
"","A1011","select_one list","Test question 11","${A1010} = '1'"
"","A1012","select_one list","Test question 12","${A1011} = '1'"
"","A1013","select_one list","Test question 13","${A1012} = '1'"
"","A1014","select_one list","Test question 14","${A1013} = '1'"
"","A1015","select_one list","Test question 15","${A1014} = '1'"
"","A1016","select_one list","Test question 16","${A1015} = '1'"
"","A1017","select_one list","Test question 17","${A1016} = '1'"
"","A1018","select_one list","Test question 18","${A1017} = '1'"
"","A1019","select_one list","Test question 19","${A1018} = '1'"
"","A1020","select_one list","Test question 20","${A1019} = '1'"
"","A1021","select_one list","Test question 21","${A1020} = '1'"
"","A1022","select_one list","Test question 22","${A1021} = '1'"
"","A1023","select_one list","Test question 23","${A1022} = '1'"
"","A1024","select_one list","Test question 24","${A1023} = '1'"
"","A1025","select_one list","Test question 25","${A1024} = '1'"
"","A1026","select_one list","Test question 26","${A1025} = '1'"
"","A1027","select_one list","Test question 27","${A1026} = '1'"
"","A1028","select_one list","Test question 28","${A1027} = '1'"
"","A1029","select_one list","Test question 29","${A1028} = '1'"
"","A1030","select_one list","Test question 30","${A1029} = '1'"
"","A1031","select_one list","Test question 31","${A1030} = '1'"
"","A1032","select_one list","Test question 32","${A1031} = '1'"
"","A1033","select_one list","Test question 33","${A1032} = '1'"
"","A1034","select_one list","Test question 34","${A1033} = '1'"
"","A1035","select_one list","Test question 35","${A1034} = '1'"
"","A1036","select_one list","Test question 36","${A1035} = '1'"
"","A1037","select_one list","Test question 37","${A1036} = '1'"
"","A1038","select_one list","Test question 38","${A1037} = '1'"
